Timestamp,Sender Redacted,Recipients Redacted,Filters,SMS Message Type,Preview
XX/XX/2015  10:08:39,1406XXXX599,1912XXXX134,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:54:09,1347XXXX733,1912XXXX770,"Blocking Filter F , Suspicious Filter R",SMPP-AO,"Wow!  members flirted with you at XXXXX View them! http:// REDACTED/2BMTF
Reply STOP to unsubscribe"
XX/XX/2015  10:53:59,1215XXXX155,1912XXXX776,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy S4 before it comes out and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:53:59,1314XXXX208,1912XXXX776,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy S4 before it comes out and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:43:14,1347XXXX669,1912XXXX575,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at XX View them! http:// REDACTED/1EgYa Reply STOP to unsubscribe
XX/XX/2015  08:59:24,1612XXXX643,1912XXXX739,"Blocking Filter F , Blocking Filter U",SMPP-AO,Short on cash? We got you covered! Get approved for CASH in 10 min.100% Secure Bad credit -OK! Grab your CASH NOW! www. REDACTED/cash to opt out reply stop
XX/XX/2015  09:29:37,1702XXXX392,1912XXXX821,Blocking Filter F,SMPP-AO,Feature Film Starring Johnny Depp is casting Main Characters & extras! Call  REDACTED ASAP! Pays up to $842/day! REDACTED-Reply STOP to opt out
XX/XX/2015  09:18:45,1424XXXX778,1912XXXX251,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were selected to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  09:19:04,1507XXXX733,1912XXXX251,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were selected to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  08:10:51,1516XXXX048,1913XXXX969,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  09:22:06,1336XXXX661,1913XXXX755,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding payday loans? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply Stop 4 no more
XX/XX/2015  10:20:28,1469XXXX061,1913XXXX083,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:32:03,1347XXXX932,1913XXXX079,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/2RgUd Reply STOP to unsubscribe
XX/XX/2015  10:17:53,1347XXXX997,1913XXXX570,Suspicious Filter R,SMPP-AO,Local  girls  found:  view their photos: http:// REDACTED/WyM4l Reply STOP to unsubscribe
XX/XX/2015  10:41:47,1347XXXX683,1913XXXX415,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/d6ajq Reply STOP to unsubscribe
XX/XX/2015  08:27:40,1631XXXX592,1913XXXX309,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  08:27:42,1701XXXX616,1913XXXX309,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:34:47,1347XXXX931,1913XXXX398,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/upodg Reply STOP to unsubscribe
XX/XX/2015  09:46:07,1618XXXX764,1913XXXX635,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding payday loans? We can help get rid of them. Call XXXXXXXXXX This is not a loan program or Reply Stop
XX/XX/2015  10:02:23,1858XXXX962,1913XXXX726,Blocking Filter F,SMPP-AO,"Do you have 2 or more payday Loans become DEBT Free. Eliminate Renewal Fees, Cut Your REDACTEDnts in half. Call XXX-XXX-XXXX. Rply Stop 2 quit"
XX/XX/2015  10:06:26,1347XXXX297,1913XXXX815,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Singles in YOUR AREA:  more matches here: http:// REDACTED/7XOro Reply STOP to unsubscribe
XX/XX/2015  09:55:10,1435XXXX306,1913XXXX857,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply Quit 4 removal
XX/XX/2015  09:09:25,1605XXXX504,1913XXXX849,"Blocking Filter F , Blocking Filter U",SMPP-AO,You have been chosen to test the Iphone 6 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  09:42:15,1318XXXX310,1913XXXX434,Blocking Filter U,SMPP-AO,You were picked to test the Galaxy S4 or Iphone 6 before they come out. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:21:59,1781XXXX178,1913XXXX181,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  10:21:59,1970XXXX642,1913XXXX181,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  08:42:30,1973XXXX027,1913XXXX952,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  10:28:09,1401XXXX702,1913XXXX123,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
